Address,Property Name,Year Built,Number of Units,
"1703 IH 35, SAN MARCOS, TX 78666",AVALON APTS,1982,136,
"1706 IH 35, SAN MARCOS, TX 78666",WOODSTONE APTS,1967,14,
"1740 RANCH ROAD 12, SAN MARCOS, TX 78666",The Edge Apts,1999,252,
"1750/1754 RIVER RD, SAN MARCOS, TX 78666",RIVER RIDGE APTS,1997,24,
"1800 POST RD, SAN MARCOS, TX 78666",ENCINO POINTE,2012,252,
"1805 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",RIVERSIDE RANCH,1987,369,
"1805 IH 35, SAN MARCOS, TX 78666",VERANDAH APTS,1982,156,
"1811 MEDICAL PKWY, SAN MARCOS, TX 78666",PARKWAY GRANDE APTS,2013,192,
"1818 OLD RANCH ROAD 12, SAN MARCOS, TX 78666",DAKOTA RANCH APTS,2002,188,
"1850 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",VILLAGIO APTS,2005,180,
"1900 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",RIVER OAKS VILLAS,1996,203,
"191 COTTER AVE, SAN MARCOS, TX 78666",HAWTHORNE AT BLANCO RIVERWALK,2019,252,
"1951 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",COUNTRY OAKS APTS,1996,160,
"1951 HUNTER RD, SAN MARCOS, TX 78666",ELYSIAN AT PURGATORY CREEK APTS,2011,286,
"1975 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",THE LODGE AT SOUTHWEST,2001,256,
"1980 AQUARENA SPRINGS DR, SAN MARCOS, TX 78666",ASPEN HEIGHTS,2013,240,
"200 ROBBIE LN, SAN MARCOS, TX 78666",ENGLEBROOK APTS,1983,102,
"200 SPRINGTOWN WAY, SAN MARCOS, TX 78666",THE LYNDON,,,
"201 FIRST ST, SAN MARCOS, TX 78666",VILLAGE GREEN APTS,1986,125,
"201 MITCHELL ST, SAN MARCOS, TX 78666",DUNBAR TOWNHOMES,,,
"201 TELLURIDE DR, SAN MARCOS, TX 78666",THE VILLAGE ON TELLURIDE,2011,,
"205 CRADDOCK AVE, SAN MARCOS, TX 78666",LANGTRY APTS,1974,59,
"205 MITCHELL ST, SAN MARCOS, TX 78666",Unnamed Complex,,6,
"210 EDWARD GARY ST, SAN MARCOS, TX 78666",THE LOCAL,,,
"213 RAMSAY ST, SAN MARCOS, TX 78666",CHERRY HILL APTS,1981,,
"214 SAN ANTONIO, SAN MARCOS, TX 78666",LINDSEY LOFTS APTS,2009,14,
"215 RAMSAY ST, SAN MARCOS, TX 78666",CHERRY HILL APTS,1981,,
"217 RAMSAY ST, SAN MARCOS, TX 78666",CHERRY HILL APTS,1981,,
"222 RAMSAY ST, SAN MARCOS, TX 78666",ICONIC VILLAGE,1970,64,
"225 RAMSEY ST, SAN MARCOS, TX 78666",LOGAN RIDGE APTS,2010,42,
"228 S GUADALUPE ST, SAN MARCOS, TX 78666",THE VIEW ON THE SQUARE,2019,136,
"250 STAGECOACH TRL, SAN MARCOS, TX 78666",SAVANNAH CLUB APTS,2003,180,
"2913 HUNTER RD, SAN MARCOS, TX 78666",SIENNA POINTE APTS,2013,228,
"2917 HUNTER RD, SAN MARCOS, TX 78666",TWINLAKE APTS,,,
"300 STAGECOACH TRL, SAN MARCOS, TX 78666",STONE BROOK SENIORS COMMUNITY,2000,206,
"301 TELLURIDE DR, SAN MARCOS, TX 78666","THE VILLAGE ON TELLURIDE, PHASE 2",2012,172,
"3085 SH 123, SAN MARCOS, TX 78666",MISSION TRAIL AT EL CAMINO REAL,2019,352,
"311 CRADDOCK AVE, SAN MARCOS, TX 78666",LADY BIRD LANE APARTMENTS,2018,7,
"315 A-H MILL ST, SAN MARCOS, TX 78666",VILLAGE SQUARE APTS,,,
"317 CRADDOCK AVE, SAN MARCOS, TX 78666",EXECUTIVE TOWNHOUSES,1973,65,
"319 NORTH ST, SAN MARCOS, TX 78666",NORTH ST APTS,,8,
"327 WOOD ST, SAN MARCOS, TX 78666",COMANCHE APTS,,18,
"345 CHAMPIONS BLVD, SAN MARCOS, TX 78666",CHAMPIONS CROSSING,2001,156,
"350 NORTH ST, SAN MARCOS, TX 78666",SANCTUARY LOFTS,2006,201,
"400 LINDA DR, SAN MARCOS, TX 78666",SUNDANCE APTS,1972,28,
"401 FREDERICKSBURG ST, SAN MARCOS, TX 78666",VISTAS SAN MARCOS,2013,255,
"407 S GUADALUPE ST, SAN MARCOS, TX 78666",THE PARLOR,2019,264,
"410 NORTH ST, SAN MARCOS, TX 78666",POLO CLUB,1974,20,
"417 COMANCHE ST, SAN MARCOS, TX 78666",POINTE SAN MARCOS,2018,124,
"420 NORTH ST, SAN MARCOS, TX 78666",THE ELMS APTS,,,
"435 COMANCHE ST, SAN MARCOS, TX 78666",LINDSEY OAKS APTS,1968,,
"512 CRADDOCK AVE, SAN MARCOS, TX 78666",THE RETREAT,2012,187,
"518 LINDA DR, SAN MARCOS, TX 78666",THE NEST APTS,1970,104,
"520 LINDA DR, SAN MARCOS, TX 78666",TOWNWOOD APTS,1983,,
"527 SAN ANTONIO ST, SAN MARCOS, TX 78666",POSEY HOUSE,,,
"530 HOPKINS ST, SAN MARCOS, TX 78666",FIVE PLEX,,,
"538 HOPKINS ST, SAN MARCOS, TX 78666",THE GARDENS,,,
"540 HOPKINS ST, SAN MARCOS, TX 78666",THE GARDENS,1988,,
"600 COMANCHE ST, SAN MARCOS, TX 78666",BIMMS SQUARE APTS,,,
"600 LEAH AVE, SAN MARCOS, TX 78666",THE WELLINGTON,1999,78,
"601 RIVER RD, SAN MARCOS, TX 78666",RIVERVIEW APTS,1971,54,
"605 HUTCHISON ST, SAN MARCOS, TX 78666",APARTMENTS 605,,22,
"613 SAN ANTONIO ST, SAN MARCOS, TX 78666",HERNDON HOUSE APTS,1972,24,
"616 MLK DR, SAN MARCOS, TX 78666",Unnamed Complex,1995,,
"650 RIVER RD, SAN MARCOS, TX 78666",THE WOODS APTS,2015,291,
"705 RIVER RD, SAN MARCOS, TX 78666",CURVE AT RIVER ROAD,1985,115,
"734 VALLEY ST, SAN MARCOS, TX 78666",ARMSTEAD ARMS APTS,,,
"736 CENTRE ST, SAN MARCOS, TX 78666",CENTRE STREET VILLAS,,5,
"755 RIVER RD, SAN MARCOS, TX 78666",RIVER ROAD APARTMENTS,2001,12,
"765 RIVER RD, SAN MARCOS, TX 78666",MYSTIC RIVER APTS,2001,30,
"800 LBJ DR, SAN MARCOS, TX 78666",TREEHOUSE APTS,1973,138,
"810 LBJ DR, SAN MARCOS, TX 78666",ICONIC VILLAGE APTS,,138,
"817 CHESTNUT ST, SAN MARCOS, TX 78666",ELLA LOFTS,2014,75,
"900 PEQUES, SAN MARCOS, TX 78666",TIMBERS APTS,,155,
"906 LBJ DR, SAN MARCOS, TX 78666",TWIN SEVILLE,1979,,
"LOOP 82, SAN MARCOS, TX 78666",BOBCAT VILLAGE,,135,
"MILL ST, SAN MARCOS, TX 78666",BOBCAT VILLAGE,,,
"1653 MILL ST, SAN MARCOS, TX 78666",WILDWOOD OF SAN MARCOS,2013,132,
"165 S GUADALUPE, SAN MARCOS TX 78666",165 LOFTS,2015,10,
"524 S LBJ, SAN MARCOS TX 78666",524 CONDOS,2017,5,
"401 S GUADALUPE, SAN MARCOS TX 78666",CHEATHAM STREET FLATS,2020,120, 
"800 LEAH, SAN MARCOS TX 78666",INVESTOCOR,2021,92, 
"490 BARNES, SAN MARCOS TX 78666",STONECREEK GRANDE/SAN MARCOS GRANDE,2021,267, 
